szDecimals,name,maxLeverage,funding,openInterest,prevDayPx,dayNtlVlm,premium,oraclePx,markPx,midPx,impactPxs,dayBaseVlm,isDelisted,onlyIsolated
5,BTC,40,-0.0000237289,14089.2663,83885.0,3203866748.0120997429,-0.0007122253,84243.0,84193.0,84182.5,"['84182.0', '84183.0']",38075.49183,,
4,ETH,25,-0.000002736,317110.2037999999,1597.4,1455020725.2873995304,-0.0005033979,1589.2,1588.4,1588.35,"['1588.3', '1588.4']",921265.9269999997,,
2,ATOM,5,-0.000016356,624634.92,4.0601,1073870.0649239998,-0.0013225203,4.0075,4.0023,4.0004,"['3.9993', '4.0022']",267835.3300000001,,
1,MATIC,20,0.0,0.0,0.37621,0.0,,0.3754,0.37621,,,0.0,True,
1,DYDX,5,0.0000054944,2636009.6000000001,0.55192,247880.236834,-0.0010082493,0.5455,0.54475,0.5446,"['0.54408', '0.54495']",452224.7,,
2,SOL,20,-0.0000143054,1624922.7400000005,126.96,969623037.7883999348,-0.0006860279,131.19,131.18,131.095,"['131.09', '131.1']",7535835.379999999,,
2,AVAX,10,0.0000118025,1076556.76,18.916,12146551.4936000034,-0.000665786,18.925,18.914,18.9115,"['18.911', '18.9124']",642157.9899999998,,
3,BNB,10,0.0000125,19041.238,582.69,7084333.3433999978,-0.0006862947,582.84,582.55,582.435,"['582.43', '582.44']",12180.791,,
1,APE,5,0.0000095271,1237589.3999999999,0.4139,473026.81796,-0.0013251415,0.41505,0.41455,0.41429,"['0.4141', '0.4145']",1154507.7999999996,,
1,OP,10,-0.0000331034,3651620.3999999999,0.64317,686540.4786559995,-0.001205857,0.63855,0.63763,0.63754,"['0.63734', '0.63778']",1081213.4999999998,,
2,LTC,10,0.0000061512,287670.22,76.072,4306398.6721699992,-0.0005665456,74.31,74.264,74.2495,"['74.235', '74.2679']",57581.73,,
1,ARB,10,-0.0000852901,16451308.1999999993,0.28224,3048580.7199390004,-0.0011857708,0.2783,0.278,0.27789,"['0.27779', '0.27797']",10949246.2000000011,,
0,DOGE,10,-0.000023793,148723370.0,0.15546,5019077.6891300026,-0.0010933882,0.15548,0.15536,0.155305,"['0.1553', '0.15531']",32586131.0,,
1,INJ,10,-0.0000168623,351839.8,7.8569,528288.14737,-0.001117304,7.715,7.7071,7.70375,"['7.70253', '7.70638']",68755.9,,
1,SUI,10,-0.0000177097,13666238.4000000004,2.1013,20525376.2339500114,-0.000875231,2.0566,2.0555,2.0546,"['2.05426', '2.0548']",9843817.8999999948,,
0,kPEPE,10,0.0000125,11161142710.0,0.007162,19090467.4372440167,-0.0001408451,0.0071,0.0071,0.007098,"['0.007097', '0.007099']",2673895168.0,,
1,CRV,10,0.0000000521,22227927.8000000007,0.61447,17812674.8562420011,-0.0003422704,0.61355,0.61295,0.61305,"['0.61286', '0.61334']",28184756.9999999888,,
1,LDO,10,-0.000004512,18126647.1999999993,0.69669,4971159.3324359972,-0.0008290909,0.6875,0.687,0.68684,"['0.68674', '0.68693']",7375106.0999999978,,
1,LINK,10,0.000001946,1485255.3999999999,12.343,5354130.5193000007,-0.0007283004,12.385,12.379,12.373,"['12.36874', '12.37598']",437620.7999999998,,
1,STX,5,0.0000125,1047099.6,0.58424,222698.207967,-0.0004857738,0.5764,0.5762,0.57588,"['0.57567', '0.57612']",384620.3999999997,,
1,RNDR,20,0.0,0.0,6.8946,0.0,,7.03,6.8952,,,0.0,True,
0,CFX,5,-0.000005414,8691926.0,0.067971,338833.7119519999,-0.0008332285,0.063608,0.063559,0.063524,"['0.063507', '0.063555']",5200855.0,,
0,FTM,10,0.0,0.0,0.73,0.0,,0.712,0.71688,,,0.0,True,
2,GMX,5,-0.0001997105,70157.14,15.581,778953.9451099999,-0.0027136619,16.03,15.985,15.9825,"['15.9767', '15.9865']",49606.79,,
1,SNX,3,0.0000080455,936336.0,0.63682,103443.922648,-0.0004408163,0.6125,0.6115,0.61126,"['0.61061', '0.61223']",165392.5,,
0,XRP,20,-0.0000261693,86874550.0,2.0868,173637231.0259000659,-0.0007227522,2.0754,2.0742,2.07385,"['2.073494', '2.0739']",83331530.0,,
3,BCH,10,-0.0000148781,10480.05,319.75,1971393.663690001,-0.0003759169,327.2,326.97,326.965,"['326.813', '327.077']",6132.1,,
2,APT,10,-0.0000071309,1863784.22,4.687,1789627.2028840007,-0.0009282245,4.6325,4.6285,4.6273,"['4.626', '4.6282']",388243.4599999998,,
2,AAVE,10,0.0000125,134730.66,135.83,5070535.1361999987,-0.0003459491,135.28,135.22,135.19,"['135.1693', '135.2332']",37780.7,,
2,COMP,5,0.0000125,15537.94,39.814,312685.3308900001,-0.0006345566,39.24,39.198,39.1935,"['39.1662', '39.2151']",7900.58,,
4,MKR,10,0.0000125,12942.5058,1360.3,4134198.7312099994,-0.000289103,1349.0,1348.7,1348.55,"['1347.91', '1348.61']",3074.0037,,
1,WLD,10,0.0000125,13870612.8000000007,0.71721,3006592.3381309998,-0.0009992759,0.6905,0.69011,0.68975,"['0.68968', '0.68981']",4312967.6000000006,,
1,FXS,5,0.0000125,454918.6,1.704,189543.78381,-0.0004665072,1.672,1.6705,1.66925,"['1.66723', '1.67122']",111779.5,,
0,HPOS,3,0.0,0.0,0.041845,0.0,,0.042203,0.041873,,,0.0,True,True
0,RLB,3,0.0,0.0,0.071,0.0,,0.071068,0.071,,,0.0,True,True
3,UNIBOT,3,0.0,0.0,7.636,0.0,,6.053,7.636,,,0.0,True,True
0,YGG,3,0.0000125,1296048.0,0.15885,41889.98482,-0.0004284773,0.1517,0.15155,0.15144,"['0.151153', '0.151635']",272627.0,,
0,TRX,10,0.0000125,25353086.0,0.25221,1926739.8189899998,0.0001064701,0.2442,0.2442,0.24425,"['0.244226', '0.244279']",7702721.0,,
0,kSHIB,10,-0.0000233371,301086676.0,0.011738,789489.1978319999,-0.0016054077,0.011835,0.011823,0.011814,"['0.011812', '0.011816']",67276750.0,,
1,UNI,10,-0.0000241225,911495.8,5.2508,929790.6936399995,-0.0005168756,5.185,5.1828,5.1805,"['5.17796', '5.18232']",180324.6,,
0,SEI,10,-0.0000545807,20054090.0,0.17066,3721586.5923600001,-0.0017427885,0.1664,0.16616,0.1661,"['0.16601', '0.16611']",22083336.0,,
1,RUNE,5,0.000002607,1470617.2,1.1101,614806.5172700001,-0.0007864164,1.119,1.1175,1.11755,"['1.1171', '1.11812']",550368.2000000003,,
0,OX,3,0.0,0.0,0.007459,0.0,,0.004982,0.007459,,,0.0,True,True
1,FRIEND,3,0.0,0.0,4.72,0.0,,0.47734,4.72,,,0.0,True,True
0,SHIA,3,0.0,0.0,0.000604,0.0,,0.000209,0.000621,,,0.0,True,True
1,CYBER,3,0.0,0.0,1.0454,0.0,,1.043,1.0415,,,0.0,True,
1,ZRO,5,-0.000039773,900011.4,2.4812,1002501.5808799999,-0.0013801917,2.3475,2.3448,2.344,"['2.34372', '2.34426']",418707.6999999999,,
0,BLZ,5,0.0,0.0,0.070239,0.0,,0.070028,0.070043,,,0.0,True,
1,DOT,10,-0.0000083792,1234264.6000000001,3.5515,803460.3594800003,-0.0006773468,3.558,3.554,3.55325,"['3.5512', '3.55559']",226512.7,,
1,BANANA,3,-0.0000001035,27159.4,15.396,143372.1076999999,-0.001195171,14.91,14.889,14.8805,"['14.8657', '14.89218']",9465.7,,
2,TRB,3,0.0000125,6612.32,23.191,52418.65129,0.0,22.52,22.513,22.5055,"['22.4758', '22.538']",2311.31,,
1,FTT,3,0.0000125,317849.0,0.83693,21245.626232,0.0,0.8203,0.81955,0.81985,"['0.81775', '0.82124']",25726.5,,
0,LOOM,10,0.0,0.0,0.07116,0.0,,0.071385,0.071161,,,0.0,True,
0,OGN,3,0.0000125,1271694.0,0.053104,26669.532785,0.0,0.05205,0.052043,0.051991,"['0.051886', '0.052169']",509633.0,,
0,RDNT,5,0.0,0.0,0.018338,0.0,,0.018338,0.018328,,,0.0,True,
0,ARK,3,-0.0009228395,1402112.0,0.49251,1000760.57732,-0.0076456625,0.4634,0.4595,0.4593,"['0.458739', '0.459857']",2105420.0,,
0,BNT,3,0.0,0.0,0.38457,0.0,,0.38349,0.38287,,,0.0,True,
0,CANTO,5,0.0,0.0,0.066,0.0,,0.06598,0.066,,,0.0,True,
0,REQ,3,-0.0000513397,947588.0,0.098789,93131.4074740001,-0.000547973,0.098545,0.09841,0.098445,"['0.098403', '0.098491']",950509.0,,
0,BIGTIME,5,0.0000125,44420284.0,0.062179,352606.0911750001,-0.0001659476,0.06026,0.060206,0.060187,"['0.060167', '0.06025']",5757776.0,,
0,KAS,3,0.0000125,45699766.0,0.075635,304717.123028,-0.0000132039,0.075735,0.075695,0.075695,"['0.075664', '0.075734']",4003122.0,,
0,ORBS,3,0.0,0.0,0.01939,0.0,,0.019393,0.01939,,,0.0,True,
0,BLUR,5,0.0000125,4856714.0,0.096119,333668.747628,-0.0007159025,0.094985,0.09489,0.094884,"['0.094858', '0.094917']",3506004.0,,
1,TIA,10,-0.0000142324,2106291.0,2.4447,5653969.9996499997,-0.0009715169,2.2645,2.2633,2.26225,"['2.26198', '2.2623']",2458569.8000000003,,
